team_1,team_2,winner,margin,ground,ground_url,match_date,scorecard,scorecard_url
Bangladesh,West Indies,Bangladesh,8 wickets,Chattogram,http://stats.espncricinfo.com/ci/content/ground/56658.html,2011-10-18,ODI # 3202,http://stats.espncricinfo.com/ci/engine/match/531985.html
South Africa,Australia,Australia,93 runs,Centurion,http://stats.espncricinfo.com/ci/content/ground/59079.html,2011-10-19,ODI # 3203,http://stats.espncricinfo.com/ci/engine/match/514025.html
Zimbabwe,New Zealand,New Zealand,9 wickets,Harare,http://stats.espncricinfo.com/ci/content/ground/59545.html,2011-10-20,ODI # 3204,http://stats.espncricinfo.com/ci/engine/match/527014.html
India,England,India,5 wickets,Mohali,http://stats.espncricinfo.com/ci/content/ground/57991.html,2011-10-20,ODI # 3205,http://stats.espncricinfo.com/ci/engine/match/521220.html
Zimbabwe,New Zealand,New Zealand,4 wickets,Harare,http://stats.espncricinfo.com/ci/content/ground/59545.html,2011-10-22,ODI # 3206,http://stats.espncricinfo.com/ci/engine/match/527015.html
India,England,India,6 wickets,Mumbai,http://stats.espncricinfo.com/ci/content/ground/58324.html,2011-10-23,ODI # 3207,http://stats.espncricinfo.com/ci/engine/match/521221.html
South Africa,Australia,South Africa,80 runs,Port Elizabeth,http://stats.espncricinfo.com/ci/content/ground/59159.html,2011-10-23,ODI # 3208,http://stats.espncricinfo.com/ci/engine/match/514026.html
Zimbabwe,New Zealand,Zimbabwe,1 wicket,Bulawayo,http://stats.espncricinfo.com/ci/content/ground/59537.html,2011-10-25,ODI # 3209,http://stats.espncricinfo.com/ci/engine/match/527016.html
India,England,India,95 runs,Kolkata,http://stats.espncricinfo.com/ci/content/ground/57980.html,2011-10-25,ODI # 3210,http://stats.espncricinfo.com/ci/engine/match/521222.html
South Africa,Australia,Australia,3 wickets,Durban,http://stats.espncricinfo.com/ci/content/ground/59089.html,2011-10-28,ODI # 3211,http://stats.espncricinfo.com/ci/engine/match/514027.html
Pakistan,Sri Lanka,Pakistan,8 wickets,Dubai (DSC),http://stats.espncricinfo.com/ci/content/ground/392627.html,2011-11-11,ODI # 3212,http://stats.espncricinfo.com/ci/engine/match/530427.html
