team,name,url,style,batting_style,bowling_style,avg_age,bat_ave,bat_sr,bowl_ave,bowl_econ,bowl_sr
West Indies,KA Pollard,http://www.espncricinfo.com/ci/content/player/230559.html,Allrounder,Right-hand bat,Right-arm medium-fast,9089.78494623656,25.710000000000026,92.8900000000001,39.119999999999926,5.7400000000000055,40.80000000000006
West Indies,JO Holder,http://www.espncricinfo.com/ci/content/player/391485.html,Bowling allrounder,Right-hand bat,Right-arm medium-fast,9105.0625,26.23000000000001,93.56999999999991,34.01000000000005,5.540000000000007,36.69999999999997
West Indies,"KCB Jeremy, ",http://www.espncricinfo.com/ci/content/player/52210.html,Bowler,Right-hand bat,Right-arm fast-medium,7761.0,8.5,40.47,40.75,5.09,48.0
West Indies,LS Baker,http://www.espncricinfo.com/ci/content/player/51431.html,Bowler,Left-hand bat,Right-arm medium-fast,8913.142857142857,6.5,56.519999999999996,32.27,5.0,38.699999999999996
West Indies,CD Collymore,http://www.espncricinfo.com/ci/content/player/51481.html,Bowler,Right-hand bat,Right-arm fast-medium,9593.431034482759,5.769999999999999,39.83999999999999,35.22000000000002,4.300000000000004,49.0
West Indies,WW Hinds,http://www.espncricinfo.com/ci/content/player/52057.html,Batsman,Left-hand bat,Right-arm medium,9636.194444444445,28.510000000000073,65.55000000000011,29.889999999999983,5.309999999999996,33.69999999999994
West Indies,NAM McLean,http://www.espncricinfo.com/ci/content/player/52430.html,Bowler,Left-hand bat,Right-arm fast,9638.486486486487,12.069999999999995,81.98,37.58,4.889999999999996,46.0
West Indies,DJ Bravo,http://www.espncricinfo.com/ci/content/player/51439.html,Allrounder,Right-hand bat,Right-arm medium-fast,9378.585714285715,25.36000000000003,82.29999999999988,29.510000000000108,5.4099999999999975,32.69999999999992
West Indies,AC Cummins,http://www.espncricinfo.com/ci/content/player/51488.html,Allrounder,Right-hand bat,Right-arm fast-medium,9976.130434782608,13.5,82.92999999999995,31.609999999999978,4.5800000000000045,41.29999999999997
West Indies,"KAJ Roach, ",http://www.espncricinfo.com/ci/content/player/230553.html,Bowler,Right-hand bat,Right-arm fast-medium,9442.0,13.330000000000005,53.74,30.209999999999994,5.0699999999999985,35.699999999999996
West Indies,DS Smith,http://www.espncricinfo.com/ci/content/player/52962.html,Opening batsman,Left-hand bat,Right-arm offbreak,9876.844444444445,24.61999999999999,70.30999999999996,203.0,6.0,179.0
West Indies,D Bishoo,http://www.espncricinfo.com/ci/content/player/341593.html,Bowler,Left-hand bat,Legbreak,11006.615384615385,10.930000000000005,62.34999999999998,43.89,4.939999999999999,53.20000000000003
West Indies,DJG Sammy,http://www.espncricinfo.com/ci/content/player/53115.html,Allrounder,Right-hand bat,Right-arm medium-fast,10165.609523809524,24.94000000000004,100.04999999999993,47.53999999999997,4.660000000000011,61.10000000000009
West Indies,"DR Smith, ",http://www.espncricinfo.com/ci/content/player/53118.html,Allrounder,Right-hand bat,Right-arm medium,8379.333333333334,18.569999999999997,92.69000000000001,37.449999999999996,5.019999999999999,44.600000000000016
West Indies,"RR Sarwan, ",http://www.espncricinfo.com/ci/content/player/52969.html,Batsman,Right-hand bat,Legbreak,9588.625,42.67000000000001,75.74,36.62,6.049999999999999,36.300000000000004
West Indies,SC Williams,http://www.espncricinfo.com/ci/content/player/53234.html,Batsman,Right-hand bat,Right-arm medium,9961.888888888889,32.359999999999964,66.02,30.0,7.5,24.0
West Indies,FH Edwards,http://www.espncricinfo.com/ci/content/player/51782.html,Bowler,Right-hand bat,Right-arm fast,9210.8,9.120000000000003,45.61999999999996,30.20000000000002,5.080000000000003,35.599999999999994
West Indies,XM Marshall,http://www.espncricinfo.com/ci/content/player/52626.html,Batsman,Right-hand bat,Right-arm offbreak,7684.652173913043,17.540000000000003,69.67000000000002,201.7391304347826,4.0,186.52173913043478
West Indies,LMP Simmons,http://www.espncricinfo.com/ci/content/player/53116.html,Top-order batsman,Right-hand bat,Right-arm medium-fast,9762.338461538462,31.57999999999997,73.05000000000008,172.0,6.610000000000009,156.0
